month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,remaining_lease,year
3,ANG MO KIO,2 ROOM,172,ANG MO KIO AVE 4,06 TO 10,45.0,Improved,1986,250000.0,73,2012
3,ANG MO KIO,2 ROOM,510,ANG MO KIO AVE 8,01 TO 05,44.0,Improved,1980,265000.0,67,2012
3,ANG MO KIO,3 ROOM,610,ANG MO KIO AVE 4,06 TO 10,68.0,New Generation,1980,315000.0,67,2012
3,ANG MO KIO,3 ROOM,474,ANG MO KIO AVE 10,01 TO 05,67.0,New Generation,1984,320000.0,71,2012
3,ANG MO KIO,3 ROOM,604,ANG MO KIO AVE 5,06 TO 10,67.0,New Generation,1980,321000.0,67,2012
3,ANG MO KIO,3 ROOM,154,ANG MO KIO AVE 5,01 TO 05,68.0,New Generation,1981,321000.0,68,2012
3,ANG MO KIO,3 ROOM,110,ANG MO KIO AVE 4,01 TO 05,67.0,New Generation,1978,323000.0,65,2012
3,ANG MO KIO,3 ROOM,445,ANG MO KIO AVE 10,01 TO 05,67.0,New Generation,1979,325000.0,66,2012
3,ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,11 TO 15,67.0,New Generation,1979,328000.0,66,2012
3,ANG MO KIO,3 ROOM,631,ANG MO KIO AVE 4,01 TO 05,67.0,New Generation,1985,330000.0,72,2012
3,ANG MO KIO,3 ROOM,155,ANG MO KIO AVE 4,11 TO 15,68.0,New Generation,1981,331000.0,68,2012
3,ANG MO KIO,3 ROOM,560,ANG MO KIO AVE 10,06 TO 10,67.0,New Generation,1980,332000.0,67,2012
3,ANG MO KIO,3 ROOM,561,ANG MO KIO AVE 10,01 TO 05,68.0,New Generation,1980,333000.0,67,2012
3,ANG MO KIO,3 ROOM,405,ANG MO KIO AVE 10,06 TO 10,67.0,New Generation,1979,333000.0,66,2012
3,ANG MO KIO,3 ROOM,548,ANG MO KIO AVE 10,01 TO 05,68.0,New Generation,1981,335000.0,68,2012
3,ANG MO KIO,3 ROOM,126,ANG MO KIO AVE 3,06 TO 10,67.0,New Generation,1978,336000.0,65,2012
3,ANG MO KIO,3 ROOM,558,ANG MO KIO AVE 10,06 TO 10,67.0,New Generation,1980,336000.0,67,2012
3,ANG MO KIO,3 ROOM,212,ANG MO KIO AVE 3,01 TO 05,67.0,New Generation,1977,336000.0,64,2012
3,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,06 TO 10,68.0,New Generation,1981,338000.0,68,2012
3,ANG MO KIO,3 ROOM,114,ANG MO KIO AVE 4,01 TO 05,73.0,New Generation,1978,339000.0,65,2012
3,ANG MO KIO,3 ROOM,151,ANG MO KIO AVE 5,06 TO 10,68.0,New Generation,1981,339000.0,68,2012
3,ANG MO KIO,3 ROOM,503,ANG MO KIO AVE 5,06 TO 10,68.0,New Generation,1981,340000.0,68,2012
3,ANG MO KIO,3 ROOM,230,ANG MO KIO AVE 3,01 TO 05,67.0,New Generation,1978,340000.0,65,2012
3,ANG MO KIO,3 ROOM,157,ANG MO KIO AVE 4,01 TO 05,69.0,New Generation,1980,342000.0,67,2012
3,ANG MO KIO,3 ROOM,604,ANG MO KIO AVE 5,01 TO 05,67.0,New Generation,1980,342000.0,67,2012
3,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,06 TO 10,67.0,New Generation,1976,347000.0,63,2012
3,ANG MO KIO,3 ROOM,419,ANG MO KIO AVE 10,01 TO 05,74.0,New Generation,1979,348000.0,66,2012
3,ANG MO KIO,3 ROOM,549,ANG MO KIO AVE 10,16 TO 20,68.0,New Generation,1981,350000.0,68,2012
3,ANG MO KIO,3 ROOM,201,ANG MO KIO AVE 3,06 TO 10,67.0,New Generation,1977,350000.0,64,2012
3,ANG MO KIO,3 ROOM,533,ANG MO KIO AVE 5,06 TO 10,67.0,New Generation,1980,350000.0,67,2012
3,ANG MO KIO,3 ROOM,533,ANG MO KIO AVE 5,11 TO 15,67.0,New Generation,1980,350000.0,67,2012
3,ANG MO KIO,3 ROOM,571,ANG MO KIO AVE 3,06 TO 10,67.0,New Generation,1979,353000.0,66,2012
3,ANG MO KIO,3 ROOM,623,ANG MO KIO AVE 9,11 TO 15,68.0,New Generation,1980,355000.0,67,2012
3,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,06 TO 10,68.0,New Generation,1980,357000.0,67,2012
3,ANG MO KIO,3 ROOM,119,ANG MO KIO AVE 3,06 TO 10,67.0,New Generation,1978,358000.0,65,2012
3,ANG MO KIO,3 ROOM,121,ANG MO KIO AVE 3,06 TO 10,67.0,New Generation,1978,360000.0,65,2012
3,ANG MO KIO,3 ROOM,418,ANG MO KIO AVE 10,01 TO 05,74.0,New Generation,1979,363000.0,66,2012
3,ANG MO KIO,3 ROOM,607,ANG MO KIO AVE 4,11 TO 15,68.0,New Generation,1980,367000.0,67,2012
3,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,06 TO 10,73.0,New Generation,1976,368000.0,63,2012
3,ANG MO KIO,3 ROOM,103,ANG MO KIO AVE 3,06 TO 10,73.0,New Generation,1978,368000.0,65,2012
3,ANG MO KIO,3 ROOM,570,ANG MO KIO AVE 3,11 TO 15,67.0,New Generation,1979,368000.0,66,2012
3,ANG MO KIO,3 ROOM,127,ANG MO KIO AVE 3,01 TO 05,67.0,New Generation,1978,368000.0,65,2012
3,ANG MO KIO,3 ROOM,159,ANG MO KIO AVE 4,01 TO 05,82.0,New Generation,1980,368000.0,67,2012
3,ANG MO KIO,3 ROOM,121,ANG MO KIO AVE 3,11 TO 15,67.0,New Generation,1978,370000.0,65,2012
3,ANG MO KIO,3 ROOM,173,ANG MO KIO AVE 4,01 TO 05,83.0,New Generation,1982,372000.0,69,2012
3,ANG MO KIO,3 ROOM,418,ANG MO KIO AVE 10,06 TO 10,74.0,New Generation,1979,373000.0,66,2012
3,ANG MO KIO,3 ROOM,585,ANG MO KIO AVE 3,11 TO 15,67.0,New Generation,1979,377000.0,66,2012
3,ANG MO KIO,3 ROOM,120,ANG MO KIO AVE 3,06 TO 10,67.0,New Generation,1978,379000.0,65,2012
3,ANG MO KIO,3 ROOM,421,ANG MO KIO AVE 10,11 TO 15,74.0,New Generation,1979,380000.0,66,2012
3,ANG MO KIO,3 ROOM,419,ANG MO KIO AVE 10,11 TO 15,74.0,New Generation,1979,380000.0,66,2012
3,ANG MO KIO,3 ROOM,173,ANG MO KIO AVE 4,01 TO 05,83.0,New Generation,1982,380000.0,69,2012
3,ANG MO KIO,3 ROOM,178,ANG MO KIO AVE 4,01 TO 05,82.0,New Generation,1981,380000.0,68,2012
3,ANG MO KIO,3 ROOM,417,ANG MO KIO AVE 10,11 TO 15,74.0,New Generation,1979,385000.0,66,2012
3,ANG MO KIO,3 ROOM,509,ANG MO KIO AVE 8,01 TO 05,81.0,New Generation,1980,385000.0,67,2012
3,ANG MO KIO,3 ROOM,128,ANG MO KIO AVE 3,11 TO 15,67.0,New Generation,1978,390000.0,65,2012
3,ANG MO KIO,3 ROOM,328,ANG MO KIO AVE 3,01 TO 05,73.0,New Generation,1978,392000.0,65,2012
3,ANG MO KIO,3 ROOM,463,ANG MO KIO AVE 10,01 TO 05,82.0,New Generation,1980,398000.0,67,2012
3,ANG MO KIO,3 ROOM,561,ANG MO KIO AVE 10,01 TO 05,82.0,New Generation,1980,398000.0,67,2012
3,ANG MO KIO,3 ROOM,623,ANG MO KIO AVE 9,06 TO 10,82.0,New Generation,1980,399000.0,67,2012
3,ANG MO KIO,3 ROOM,575,ANG MO KIO AVE 10,01 TO 05,81.0,New Generation,1980,400000.0,67,2012
3,ANG MO KIO,3 ROOM,587,ANG MO KIO AVE 3,01 TO 05,82.0,New Generation,1979,400000.0,66,2012
3,ANG MO KIO,3 ROOM,114,ANG MO KIO AVE 4,01 TO 05,88.0,New Generation,1978,400000.0,65,2012
3,ANG MO KIO,4 ROOM,218,ANG MO KIO AVE 1,01 TO 05,82.0,New Generation,1976,400000.0,63,2012
3,ANG MO KIO,3 ROOM,320,ANG MO KIO AVE 1,06 TO 10,73.0,New Generation,1977,403000.0,64,2012
3,ANG MO KIO,3 ROOM,348,ANG MO KIO AVE 3,06 TO 10,73.0,New Generation,1978,411000.0,65,2012
3,ANG MO KIO,4 ROOM,601,ANG MO KIO AVE 5,01 TO 05,91.0,New Generation,1980,411000.0,67,2012
3,ANG MO KIO,3 ROOM,348,ANG MO KIO AVE 3,11 TO 15,73.0,New Generation,1978,414000.0,65,2012
3,ANG MO KIO,3 ROOM,313,ANG MO KIO AVE 3,06 TO 10,73.0,New Generation,1978,418000.0,65,2012
3,ANG MO KIO,3 ROOM,523,ANG MO KIO AVE 5,06 TO 10,82.0,New Generation,1980,426888.0,67,2012
3,ANG MO KIO,4 ROOM,108,ANG MO KIO AVE 4,06 TO 10,92.0,New Generation,1978,427000.0,65,2012
3,ANG MO KIO,3 ROOM,466,ANG MO KIO AVE 10,11 TO 15,82.0,New Generation,1984,428000.0,71,2012
3,ANG MO KIO,4 ROOM,105,ANG MO KIO AVE 4,06 TO 10,92.0,New Generation,1978,430000.0,65,2012
3,ANG MO KIO,4 ROOM,438,ANG MO KIO AVE 10,06 TO 10,92.0,New Generation,1979,433000.0,66,2012
3,ANG MO KIO,4 ROOM,543,ANG MO KIO AVE 10,06 TO 10,92.0,New Generation,1981,434000.0,68,2012
3,ANG MO KIO,3 ROOM,416,ANG MO KIO AVE 10,06 TO 10,89.0,New Generation,1979,434800.0,66,2012
3,ANG MO KIO,3 ROOM,419,ANG MO KIO AVE 10,06 TO 10,89.0,New Generation,1979,435000.0,66,2012
3,ANG MO KIO,4 ROOM,442,ANG MO KIO AVE 10,01 TO 05,92.0,New Generation,1979,440000.0,66,2012
3,ANG MO KIO,4 ROOM,573,ANG MO KIO AVE 3,01 TO 05,92.0,New Generation,1979,443000.0,66,2012
3,ANG MO KIO,4 ROOM,542,ANG MO KIO AVE 10,11 TO 15,93.0,New Generation,1981,445000.0,68,2012
3,ANG MO KIO,4 ROOM,544,ANG MO KIO AVE 10,01 TO 05,92.0,New Generation,1981,448000.0,68,2012
3,ANG MO KIO,4 ROOM,335,ANG MO KIO AVE 1,01 TO 05,91.0,New Generation,1982,455000.0,69,2012
3,ANG MO KIO,4 ROOM,475,ANG MO KIO AVE 10,11 TO 15,91.0,New Generation,1979,455000.0,66,2012
3,ANG MO KIO,4 ROOM,572,ANG MO KIO AVE 3,01 TO 05,92.0,New Generation,1979,457000.0,66,2012
3,ANG MO KIO,3 ROOM,313,ANG MO KIO AVE 3,06 TO 10,88.0,New Generation,1978,460000.0,65,2012
3,ANG MO KIO,4 ROOM,208,ANG MO KIO AVE 1,06 TO 10,88.0,New Generation,1976,460000.0,63,2012
3,ANG MO KIO,4 ROOM,231,ANG MO KIO AVE 3,06 TO 10,92.0,New Generation,1977,460000.0,64,2012
3,ANG MO KIO,4 ROOM,435,ANG MO KIO AVE 10,06 TO 10,92.0,New Generation,1979,478000.0,66,2012
3,ANG MO KIO,4 ROOM,128,ANG MO KIO AVE 3,11 TO 15,92.0,New Generation,1978,478000.0,65,2012
3,ANG MO KIO,4 ROOM,467,ANG MO KIO AVE 10,11 TO 15,92.0,New Generation,1979,480000.0,66,2012
3,ANG MO KIO,4 ROOM,634,ANG MO KIO AVE 6,01 TO 05,92.0,New Generation,1980,480000.0,67,2012
3,ANG MO KIO,4 ROOM,504,ANG MO KIO AVE 8,01 TO 05,93.0,New Generation,1980,480000.0,67,2012
3,ANG MO KIO,4 ROOM,414,ANG MO KIO AVE 10,01 TO 05,92.0,New Generation,1979,481000.0,66,2012
3,ANG MO KIO,4 ROOM,434,ANG MO KIO AVE 10,11 TO 15,92.0,New Generation,1979,493000.0,66,2012
3,ANG MO KIO,4 ROOM,346,ANG MO KIO AVE 3,06 TO 10,98.0,New Generation,1978,505000.0,65,2012
3,ANG MO KIO,4 ROOM,638,ANG MO KIO AVE 6,06 TO 10,91.0,New Generation,1980,508000.0,67,2012
3,ANG MO KIO,5 ROOM,101,ANG MO KIO AVE 3,06 TO 10,117.0,Standard,1978,515000.0,65,2012
3,ANG MO KIO,4 ROOM,354,ANG MO KIO ST 32,01 TO 05,95.0,Model A,2001,518000.0,88,2012
3,ANG MO KIO,4 ROOM,348,ANG MO KIO AVE 3,06 TO 10,98.0,New Generation,1978,533000.0,65,2012
3,ANG MO KIO,5 ROOM,648,ANG MO KIO AVE 5,01 TO 05,121.0,Improved,1980,538000.0,67,2012
3,ANG MO KIO,4 ROOM,351,ANG MO KIO ST 32,06 TO 10,95.0,Model A,2001,538000.0,88,2012
